(1)pl	(chicken)_gizzard	1sg	all	also	and	bat	be_afraid	beggar	bottle	breasts	bully	cheeky	chopsticks	cold_water	cricket	dirty	door_jam	dragonfly	eat_(breakfast)	egg	female_dog	flash_lightning	fly	frog	general_mw	go_out_of_business	growing_grain	horse_cntr	how_(to_do_)	hungry	instance_cntr	keep_a_fire_(for_warmth)	knife_mw	lay_(egg)	leftover_(rice)	loc.	look	male_dog	moon	nose	not_viscous	owe	pass.	play	pomelo	rainbow	relax_in_a_cool_place	salt	search_for	serve_up_rice	shoulder	shout	shrimp	sleep	son	soup_spoon	soybean	sparrow	spider	steamed_rice	stroll	sturdy	that	thief	this	throw	to_rain	toad	tomorrow	tongue	tree_cntr	umbrella	well-behaved	who	wing	yesterday
WC	nɛHT.		ŋɔHB. / ŋwɐŋHB.	jɐtHB.wuiLT.			fɛiHT.siLR.	kiŋHT.	hɐtHB.ȵiHT.lɔɑuLR.	tunHT.	nɛŋHT.		kauLR.	faiLF.tsʰiLT.		tʰɔuLR.kɐuLR.		munHB.tʰɛiLT.fukHB.	tʰɔŋHB.nɛiHT. / nɐŋHB.nɛiHT.	hɐkHB.	tʰanLT.	kɐuLR.nɛŋHT.	fɔLR.sɛHB.	mɐmHB.jiŋHB.	kɔkLT.	tsikHB.	tsɐpHB.lɐpHB.	wɔHB.		tɛŋLF.tɛiLR.	tʰɔuHB.kɛiHT.	wuiLT.	tsikHB.		saŋHT.	tʰamHB.	tʰɔiLT.	tʰɐiLR.	kɐuLR.kuHT.	witHB.lɛŋLT.	pʰɛiLT.	hɛiHT.		bɛiLR.	lamLF.	kaHT.pʰukHB.	kaŋLF.	lɔŋLT.		wɐnHT. / lɔHT.	ȵiuLR. / bɐtHB.		ɛuHT.	haHT.kuŋHT.	mɐiLF.	tɐiLR.		pʰaakHB.tʰɐuLT.	wɔHB.mɛiLF. / kukHB.mɛiLF.	kʰɐmHB.lɔHB. / tʰinHT.tʰɐuHT.ȵiHT.	fanLT.	tʰɔŋLT. / sauLF.	mɐtHB.sɐtHB.	naLT.	tʰɐtHB.	kɔLF.	diuHT. / tɐpHB.	lɔkHB.suiLR.	kʰɐmHB.siHB.	miŋHB.tsiuHT.ȵɐtHB.	lɛiLT.	dɐuHT.		tʰiŋHT.kaŋLR.	matHB.suiHB.	jikHB.	tʰukHB.ȵɐtHB.
XD		sanLFR.	nuŋHB.	amLR.paLR.laŋLR.	jɛLF.	tuŋLR.	fuiHB.syHF.	pʰɔHR.	hitHF.kiakHF.lɔuHF.	pʰĩLR.	ninHR.	hiHB.puLFR.	tʰɛiHR.paiLR.	kʰuaHR.tsyHR.	tsʰiakLR.suiHF.	tsɔuHR.kaHB.	latLR.tʰatLR.	manLR.hɔmHB.	tsʰĩHB.tʰĩLR.	kiakHF.	tãLFR.	kauHF.pɔLR.	lapLR.nĩLR.	manHB.jaŋLR.	kɔpHF.mɔLR.	kɔHR.	tɔuHF.paHR.	kukHF.	tɔLR.	tø̃HR.ø̃LFR.	kiHB.	wuiLR.	tsatHF.	tsø̃HB.	sɛ̃HB.	saŋLR.	soiLFR.	tʰaiHF.	kauHF.kuHF.	ȵutLR.kɤ̃HB.	paiLR.	hiHB.	tsɛ̃HB.	paiLFR.	sɐkHF.kiakLR.	taLFR.kumHB.	kɤ̃HR.	saŋLR.	inLR.	maiHB.	juLF.	pɔHR.tɔLR.	wɛiHB.	hɔHB.kuŋHB.	fɐnHR.	tsaiHF.	tʰɤ̃HB.kɛ̃HB.	ŋ̍LR.tauLFR.	maLR.tʰiaHB.	kiamLR.lɔLR.	pãLFR.	jaLR.	kitHF.satLR.	puiLR.	pɛLR.nɛmHB.	kaiHF.	ŋãHR.	liɔkLR.suiHF.	mɔHB.kuɐiHT.	tɛLFR.ȵatLR.	sitLR.tɔLR.	kʰɔHF.	tsiaHB.	kuaHB.	suiLFR.	tsʰiHF.	ɬiLR.ȵatLR.
XH	kLF.	kʰænLR.	ᵑguɔLR.	hamLF.paLF.laŋLF.	ziikLF.	houŋLT.	feiLR.siHR.	kiaŋLR.	hætHT.ᵑgiHR.	tsænLR.	ⁿdinHR.	heiLR.fuLF.	pakHT.zimLR.	faiLR.tsiHR.	touŋLR.suiHR.	sikHT.sætHT.	laLT.tsaHR.	ᵐbunLT.kʰæmLF.	ⁿdɔŋLT.ⁿdeiHR.	hiakHB.	tanLF.	kæuHR.ⁿdaHR.	hinLR.sipHB.	vuɔLT.ziiŋHR.	hinLT.kæiLR. / kæpHB.	kuɔLR.	sæuLR.suiHR.	vuɔLT.	kuɔLR.	kiHR.kʰouLF.	touHR.ᵑgɔLF.	tsʰiLR. / hɔŋLR.	puiLF.	tsiɔŋLR.	saŋLR.	laŋLF.	hæiHR.	hæiHR.	kæuHR.kuHR.	ᵑgitLF.	peiLF.kuɔHR.	heiLR.	tsaŋLR.	peiHR.	lauLF.	puHR.loukHT.	vɔkLF.ᵑgiHR.	sauHR.	siɔŋLF.ᵐbeiLF.	vænHR.	tsɔŋLR. / ziuHR.	kænLR.hæuLT.	hamLR.	haLR.	fænLR.	tsæiHR.	tsʰiLT.kaŋLR.	vaŋLT.tæuLR.	vuɔLT.tsiɔkHT.	kʰæmLT.louHR.	fanLF.	lauLF.	sætLF.tsiaŋLF.	ⁿdenLF.	siuHR.ᵐbɔHR.	kʰuiLF.	pʰiakHB. / sauLT.	lɔkLF.suiHR.	kʰæmLT.siLT.	hiŋLR.ᵑgætLF.	leiLF.	tæuLR.	tsiaLR.	kuaiLR.	pinLR.kɔLR. / suiLT.	ziikLF.	tsɔkLF.ᵑgætLF.
XX	nɐiHR.	sɐnHF.	ŋɔLT.			lɐuHR.	fiHR.syHR.	nɐtLF.	hɐtHT.jiHT.	tsɐnHR.	nɛHR.		pakHT.jimHB.	faiHB.tsiHR.	tsʰɐtHT.syHR. / tuŋHB.syHR.	tʰɐtHT.sɐtHT.	aHB.tsɐuHR.	mʊnLT.tiHF.kauHR.	tʰɔŋHB.miLT.	hɐtHT.	tsʰɐnHR.	kɐuHR.naHR.	simHR.tinHF.	mɐnHB.tsaiHR.	kɐpHT.naHR.	kɔHB.	tsɐpHT.lɐpHT. / lɐmLT.tɔŋHB.	vɔLT.	pʰɐtHT.		tʰuLT.kiHR.	vɐnLT.	poiHF.	tsiaŋHR.	ɔHR.	laŋHB.	tsʰoiLT.	tʰɐiHR.	kɐuHR.kuHR.	jytLF.liaŋHF.	piHF.kɔHR.	hiHR.	tsaŋHR.	piHR.	tsynHR.	jioHB.tsiHR.	luŋLT.	siuHR.	jimLT.	vɐnHR.	tsɔŋHR.	pɔkHF.tʰɐuLT.	hɐmHB.	haHB.	fɐnHB.	tsɐiHR.	tsʰiLT.kaŋHR.	vɔŋLT.tɐuHF.	maLT.mɐtHT.	kʰɐmLT.lɐuLT.	fanHF.	tɔŋHF.	sɐtLF.tsɐnHF.	nɐtHT.	tsʰakLF.tsɐiHR.	ɐtHT.	tsyHR. / tɐnHF.	lɔkLF.syHR.laHB.	kʰɐmLT.syLT.	loiLT.jɐtLF.	liHF.	pʰɔHR.	tsɛHR.	kuaiHR.	pɐtHT.kɔHB.	jɐtLF.	tsʰɐʔLF.mɐtLF.
XY	teiLF.	sɐnLR.	ŋɔLR.				fuiHF.syLR.	kʰɔŋLR.	hɐtHT.ɲiHF.	tsuŋHF.	nɛnHF.		fanHF.manLR.	kʰuaiHB.tsyLF. / kʰuaiHB.	ŋanHT.suiLR.	tsukHT.tsikHT.	naiHF.	kumLF.hɐmHB.	lɐtLF.leiHF.	sikLF.	tsʰɐnHF.	kɐuLR.naHR.	ɲapHB.liŋLF.	mɐnHF.jiŋHF.	kɐpHT.naLR.	tsikHT.	tsɐpHT.lɐpHT.	wɔLR.	tsɛkHB.		tʰuLR.ŋɔLF.	wɐnLF. / tʰɔŋHB.	hɔŋHB.	tsɛŋHF.	siŋHF.	laŋLR.	touHB. / tsʰɔiLR.	tʰɐiLR.	kɐuLR.kuŋHF.		peiLF.kuŋHF.	heiHF.	himHB.	peiLR.	lɛuLF. / tɔŋLF.	kuHF.pɔkLF.	pɐŋLF.kɐŋHB.	tʰɐuLR. / lɔŋLF.	jimLR.	wɐnLR.	tʰimHF.	kinHF.pɔkHB.	kiuHB. / hamHB. / ɛuHF.	haHF.	suiLR.	tsɐiLR.	siLF.kɐŋHF.	wɔŋLF.tɐuLF.	maLF.tsʰɛkHB.	kʰɐmLF.louLR.	fanLF.	tɔŋLF.	sɐtLF. / kitHB.	naLF.	tsʰɐkLF.louLR.	keiLR.kɔHB.	makLF. / tiuHT.	lɔkLF.suiLR.	kʰɐmLF.syLR.	tʰiŋHF.ɲɐtLF.	leiLF.	pʰœHF.	tsɛHF.	kuaiHF.	mɐtHT.ɲɐnLR. / mɐtHT.suiLR.	jiikLF.	kʰɐmLF.ɲɐtLF.
YD	teiLF.	sɐnLR.	ŋuɔLR.			tʰuŋLT.	feiHT.syLR.	kiaŋHT.	kaHB.faHB.louLR.	tsønHT.tsɐiLR.	ninHT.		tʰiuHB.pʰeiLT.	faiHB.tsiLR.	tsʰiakHB.søiLR.	tsøtHT.tsɐiLR.	latLT.tʰatHB. / vuHT.tsouHT.	fuHT.kʰimHT.	jøŋLT.meiLT.tsʰiLT.	sikLT.	tanLR.	kɐuLR.naLR.	simLR.tinLF.	vuHT.jiŋHT.	hɐpHT.naHR.	kuɔHB.	tsɐpHT.lɐpHT.	vuɔLT.tsɐiLR.	tsiakHB.		touLR.ŋuɔLF.	tsʰiHB.	tsiakHB.	tsøŋHT.	saŋHT.	laŋLR.	hɐiLR.	tʰɐiLR.	kɐuLR.kuŋHT.	jytLT.kɔŋHT.	peiLF.kuŋHT.	heiHT.	tsaŋHT.	peiLR.	liuLR.	saHT.tʰinLT.jɐuLR.	tʰinHT.kuŋHT.	tʰɐuLR.	saŋHT.jimLT.	vɐnLR.	tsɔŋHT.	kinHT.tʰɐuLT.	hamHB.	kaHT.kuŋHT.	fɐnHB.	tsɐiLR.	tsʰiLT.kaŋHT.	vɔŋLT.tɐuLF.	vuɔLT.faHT.tsøkHB.	laLF.kʰaLF.	fanLF.	kɔŋLF.	sɐtLT.tsiaŋLF.	kuɔHB.	tsʰakLT.tsaiLR.	liHT.	tiuHT.	lɔkLT.søiLR.	kʰɐmLT.kʰøiLT.pʰuɔLT.	tʰiŋHT.jɐtLT.	leiLF.	pʰuɔHT.	tsɛHT.	kuaiHT.	pinHT.kuɔHB.	jikLT.	kʰɐmLT.jɐtLT. / tsʰɐmLT.jɐtLT.
YF	teiLF.	kʰɐnLR.	ŋɔLR. / nɐnHT.			tʰuŋLF.	feiHT.syHR.	pʰaHB. / kᴇŋHT.	hɐtHT.jiHT.	tsɐnHT.	ninHT.		tʰiuHB.pʰeiLF. / jɐiHR.	faiHB.tsiHR.	tuŋHB.suHR.	tsukHT.tsɐtHT.	lakLT.tʰakHB.	munLF.kauHT.	tʰɔŋLF.meiHT.	sikLT.	tsʰɐnHT.	kɐuHR.naHR.	sapHB.lᴇŋLF.	wuHT.jiiŋHT.	kɐpHT.naHR.	kɔHB.	tsɐpHT.lɐpHT.	kukHT.juŋHT.	pʰɐtHT.		touLR.ŋɔLF.	tsʰiHB. / wɐnLF.	tsᴇkHB.	tsœŋHT.	saŋHT.	siŋLF.	tsʰuLF. / hɐiHR.	tʰɐiHR.	kɐuHR.kuHR.	jytLT.kuɔŋHT.	peiLF.kɔHT.	heiHT.liuHT.liuHT.	tsaŋHT.	peiHR.	saHR.	pɐnHT.lukHT.	luŋLF.	tʰɐuHR.	jinLF.	wɐnLF.	tʰinHT.	pɔkHB.tʰɐuLF.	hamHB.	haHB.kuŋHT.	fɐnHB.	tsɐiHR.	tsʰiLF.kaŋHT.	wɔŋLF.tɐuLF.	maLF.tsœkHB.	kʰɐmLF.louLF.	faŋLF.	haŋLF.	ŋaŋLF.lɔŋLF. / sɐtLT.tsᴇŋLF. / kitHB.sɐtLT.	kɔHR.	sytHB.tsɐiHR.	niHT.	tiuHT.	lɔkLT.jyLR.wɔHB.	kʰɐmLF.kʰœyLF.	tsʰiŋHT.jɐtLT.	leiLF.	pʰœHT.	tsɛHT.	kuaiHT.	pinHT.kɔHB.	jiikLT.	kʰɐmLF.jɐtLT.
YJ	kLF.		ŋɔLF. / ŋuLF.	hɐmLR.pʰɐŋLR.lɐŋLR.		tɐŋHT.	feiHB.siLF.	nɐtHT.	hɐtLR.jiHB.	tsunHB.	niɛnLR.		tʰiuLR.pʰeiHF.	kʰaiLR. / kʰaiLR.tsiHT.		tsukHF.tsɐkHF.	sikLR.jɐnLF. / wɔLR.	munHF.kʰɐmLF.	pʰɐŋHF.leiHT.	hɐtLR.	tanHT.	kɐuLF.naLF.	sipLF.liŋHT.	mɐnHF.tseiLF.	kɐpLR. / kɐpLR.naLF. / tsʰiŋHB.waHB. / tinHF.kɐiHB.	kɔHT.	touLF.pɐiLR. / sɐuHB.tɔŋLR. / tsɐpLR.lɐpLR.	kukLR.	pʰɐtLR.	tiHT.	tʰouLF.ŋɔHT.	tsʰeiLR. / lɐnHF.	hɔŋLR.	tsiɛŋHB. / paLF.	saŋHB.	siŋHT.	tsɔiLF.	hɔnLR.	kɐuLF.kuŋHB.	jitHT.kɔŋHB. / jitHT.liɛŋHT.	peiHT.	heiHB.	tsaŋHB.	peiLF.	.nikLR.	pukHT.tseiLF. / saHB.tʰinHF.pukHT. / huŋHF.pukHT.	wɔkHT.jiLF.luŋHF. / tsʰɔiLF.huŋHF. / kukLR.pʰuŋHF.	tʰɐuLF.	jimHF.	wɐnLF.	juLF.	pɔkLF.tʰɐuHF. / kɔLR.pɔkLF.	hamLR.	haHB. / haHB.kuŋHB.	fɐnLR.	tsɐiLF.		wɔŋHF.tɐuHT.	maHF.tsiɛkLF.	kʰɐmHF.lɐuHF.	fanHT.	lauLR.		naLF.	tsʰɐkHT.tsɐiLF. / tsʰɐkHT.louLF.	kuLF.	pʰikLR. / fiŋHT.	lɔkHT.suiLF.	kɐmLR.siHF.	lɔiHF.jɐtHT. / lɔiHF.tsouLF.jɐtHT.	leiHT.	tɐuHB.	tsɛHB.	kaiHB.	mɐtHF.suiHT.	jikHT.	tsɔŋHT.jɐtHT.
YN	tiHT.	sɐnLR. / kʰɐnLR.	ŋɔLR.			naHT.	pʰeiHB.syHR.	kɤŋHT.	hɐtHT.niHT.	tɐnHT.	naiLR.pɔŋLF.		tʰiuHB.piLR.	faiHF.tiHR.	tuŋHF.sɔiHR.	tsukHB.tɐtHT.	latLT.tʰatHF.	munLF.kʰɛmHR.	wɔŋLF.pʰeLR.	hɤkHB.	tsʰɐnHT.	kɐuHR.naLR.	sipHB.lɤŋLF.	wuLF.jɛŋHT.	tʰinLF.kɐiHT.	kɔHF.	tsɐpHT.lɐpHT.	wɔLR.	tsɤkHT.		tuLR.ŋɔLF.	tʰiHF.	tamLF.	tsɛŋHT.	saŋHT.	laŋLR.	ɬɔiLR.	tʰɐiHR.	kɐuHR.kuHR.	nytLT.kɔŋHT.	piLF.kɔHT.	hiHT.	himHF.	peiHR.	tɔŋLF.	kuHB.jɐuLF.	luŋLR.	tʰɐuHB.	jimLR.	wɐnLR.	juLT.	pɔkLT.tɐuLR.	juHT.	haHT.	hɐnHF.	tɐiHR.	ɬiLF.kaŋHT.	wɔŋLF.tɐuLF.	maLF.tɛkHF.	tsauHB.tsyHT.	fanLF.	tɔŋLF.	kitHB.sɐtLT.	aHB.	ɬiuHR.tʰɐuHT.	kɔHB.	pʰikLT.	lɔkLT.yLR.	kʰɐmLF.kʰyLR.	mɐtLT.tsiuHT.ȵiɐtLT.	liLF.tɐuLR.	pʰɔHT.	tseHT.	kaiHT.	ŋ̍HT.kɔLR.	jɛkLT.	kʰɐmLF.mɐtLT.
YS	tɔyLT.	kɐnHR.	ŋɔLR.			kinHF. / kɐnHF.	fɐiHF.syHT.	kiŋHF.	hɐtHB.hikHB.loHT.	tsɐnHF.	nenLT.		tʰeuHB.pɐiHRF.	tɔyLT.	tsʰikHB.syHT. / tuŋHB.syHT.	tsɐtHT.	lapHB.tatHT. / wuHB.tsoHF.	monHB.keuHF. / tɐiLT.keuHF.	tsʰiHB.laiHF.	hikHB.	tsʰɐnHF.	kauHB.naHT.	loiHB.kuŋHF.fɔHT.	wuHF.jɐŋHRF.	kapHB.naLR.	laHF.	tsɐpLT.lɐpHB. / kuenHF.monHRF.	wɔHRF.	laHF.		tɐuLR.kɐiHF.	tsʰɐiHR. / teuLT. / tsiœŋHT.	tsikHB.	tsiœŋHF.	siŋHF.	sɐŋLT.	aiHF.	mœŋLT. / tʰaiHRF.	kauHB.kuHT.	ytLT.kuɔŋHF.	pɐiLT.kuŋHF.	wuiŋLT.	tsiŋHF.	pɐiHT.	saHT.	pɐtHB.lukLT. / jauHRF.	huŋHRF.	tʰauHR.	jimHRF.	wɐnHB.	tsœŋHF.	pœkHB.tauHRF.	henHT.	haHF.	fɐnHB.	tsaiHT.	tsiHB.kiŋHF.	wɔŋHB.tauLT.	maHB.tsiœkHB.tsaiHT.	kɐmHB.lauHF.	fanLT.	tœŋLT. / kuɔŋLT.	kitHT.sɐtLT.	kɔLT.	paHB.sɐuHT. / siuHB.tʰauHF.	lɐiLT.	tiuHF.	lœkLT.yLR.	kɐmHB.tsyHRF.	taiLT.jɐtLT.	lɐiLT.	tauHF.	tseHF.	kuaiHF.	lɔHB.laHF.	tsʰiHR.	tseHB.jɐtLT.
ZC	paŋHT.jɐŋLB.	sɐŋLT.	ŋɔiHF.	hɐmLT.paŋLT.laŋLT.	jɐuLT.	tʰuŋLB. / kuŋLT.	feiHT.siHF. / fukHT.siHF.	houHF.pʰaHB.	hɐkHT.sikLT.louHR.	tsɐŋHT.	nɛŋHT.	haHT.	pakHB.jimHB.	faiHB.tseiHR.	laŋHF.sœHR.	tsiHT.tsaHT.	lakLT.tʰakHB. / ouHT.tsouHT.	teiLT.fukLT.	lɔŋHF.niHT.	sikLT.	tsʰɐŋHT.	kɐuHF.naHR.	tʰɛŋHT.sɛHF.simHR.	ouHT.jiiŋLB.	tʰɛŋHF.kɐiHT.	kɔiHB.	tsɐpHT.lɐpHT.	wɔLB.	tʰiuLB. / tʰiuLB.pʰɐkHT.	timHR.jœŋHR.	touLR.ŋɔLT.	tʰɔŋHB.	puiLT.	tsœŋHT.	saŋHT.	laŋLR.	tsʰɔiHR.	tʰɐiHR.	kɐuHF.kuHR.	jitLT.kuɔŋHT.	peiLT.kɔHT.	tsʰɛŋHT.	tsaŋHT.	peiHR.	liuLT.	lukHT.	luŋLB.kʰuŋLR.	tʰauHR.	jimLB.	wɐŋHF.	juHR.	kaŋHT.tʰɐuLB.	ɛuHT.	haHT.kuŋHT.	fɐŋHB. / sœyHB.	tsɐiHR.	tʰiuLB.kaŋHT.	pakLT.tɐuHR.	maHF.lɐkHT.	kʰɐmHF.lɔHR.	faŋLT.	tɔkLT.	sɐkLT.tsɛŋLT.	kɔiHR.	tʰɐuHT.kɐiHT.louHR. / tsʰɐkLT.louHR.	neiHT.	tœHF.	lɔkLT.jiLR.	kʰɐmHF.siHR.	tʰiŋHT.jɐkLT.	leiLT.	pʰɔHT.	tsɛHT.	kuaiHT. / tʰɛŋHT.waLT.	mɐiHT.sœLB.	jiikLT.	tsʰɔkLT.jɐkLT.
ZH	tiHB.	sɐnLR.	ŋɔLR.	tsʰynLF.puHB.	tuHT.	tɐŋHB.	fiHT.syLR.	kiaŋHT.	hɐtHT.jiHT.	tsɐnHT.	ninHT. / nɛHT.tsɐiLR.	haHT.	kʰaiLF.	faiHB.tsiLR.	tuŋHB.sœyLR.	tsukHT.kɐiHT.	latHB.tʰatHB.	munLF.tsʰanLR.	tsʰuŋLF.miHT.	jakHB.	tsʰɐnHT.	kɐuLR.naLR.	simLR.tinHB.	wuHT.ɐŋHT.	tʰinLF.kɐiHT.	kɔHB.	tsɐpHT.lɐpHT.	wɔLF.	tsiakHB.	timHR.jœŋHB.	ŋɔHB.	tsʰiHB.	puiHB.	tsœŋHT.	saŋHT.	laŋLR.	tsʰɔiLR.	tʰɐiLR.	kɐuLR.kuŋHT.	ŋytHB.kɔŋHT.	piHB.kɔHT.	hiHT.	tsaŋHT.	piLR.	fanLR.	puHB.lukHT.	pɔHB.huŋLF.	tʰauLR.	jimLF.	wɐnLR.	tsɔŋHT.	kanHT.tʰɐuLF.	kiuHB.	haHT.	fɐnHB.	tsɐiLR.	tsʰiLF.kɐŋHT.	pakHB.tɐuHB.	maLF.tsœkHB.	kʰɐmLF.lœLF.	fanHB.	haŋLF.kaiHT.	sɐtHB.tsiaŋHB.	kɔLR.	tʰɐuHT.tsɐiLR.	niHT.	tɐmLR.	lɔkHB.yLR.	kʰɐmLF.kʰyLF.	tʰɐŋHT.jɐtHB.	liHB.	pʰɔHT.	tsɛHT.	kɐiHT.	pinHT.kɔHB.	ɐkHB.	kʰɐmLF.jɐtHB.
ZQ	teiLF.	sɐnLR.	ŋɔLR.			tʰuŋLF.	feiHT.syHR. / fukHT.syHR.	pʰaHB.	hɐtHT.jiHT.	tsɐnHT.	naiLR.		tʰiuHB.pʰeiLF. / pakHB.jimHB.	waiHB.tsiHR.	tuŋHB.soiHR.	tsukHT.tsɐtHT.	latHB.tʰatHB.	munLF.kɐmHR.	tʰɔŋLF.meiHB.	jɐtHT.	tanHF.	kɐuHR.naHR.	simHR.lɛŋHF.	wuHT.jiiŋHT.	kɐpHB. / kɐpHB.naHR.	kɔHB.	tsɐpHT.lɐpHT.	wɔLF.	pʰɐtHB.		tʰouLR.keiHT.	tʰɔŋHB. / tsʰiHB.	poiHF.	tsœŋHT.	haHF.	laŋLR.	tsʰoiLF.	tʰɐiHR.	kɐuHR.kuŋHT.	jytHB.kuɔŋHT.	peiHF.kɔHT.	heiHT.	tsaŋHT. / tʰɔHT.	peiHR.	saHR.	pʰɔHT.lukHT.	luŋLF.	tʰɐuHR.	himLF.	wɐnHR.	tʰinHT.	pɔkHB.tʰɐuLF.	kiuHB.	haHT.	wɐnHB.	tsɐiHR.	tsʰiLF.kɐŋHT.	wɔŋLF.tɐuHF.	maLF.lɐtHT.	tsiHT.tsuHT. / kʰɐmLF.louLF.	fanHF.	haŋLF.	ŋaŋHF.lɔŋHF.	nɔHF.	tsʰɐkHB.tsɐiHR.	kɔHF.	tɛŋHB. / tsaiHR.	lɔkHB.hœyLR.laHB.	kʰɐmLF.kʰœyLF.	tʰiŋHT.jɐtHB.	leiHF.	pʰɔHT.	tsɛHT.	kuaiHT.	mɐtHT.soiLF.	jiikHT.	tʰouLF.mɐtHB.
ZS	tiHB.	tsʰɐnLFR.	ŋɔLFR.	tsʰynHF.puHB.	tuHT.	tʰuŋHF.	fiHT.syLFR.	kiaŋHT.	hɐtHT.jiHT.	tsœnHT.	ninHT.	haHT.	tʰiuHB.pʰiHF. / kʰuaiHF.	kʰuaiHB.tsiLFR.	tuŋHB.sœyLFR.	tsikHT.tsœkHT.	latHB.tʰatHB.	munHF.tsʰanLFR.	tʰɔŋHF.miHT.	jakHB.	tsʰœnHT.	kɐuLF.naLFR.	simLF.tinHB.	wuHT.jiŋHF.	tʰinHF.kɐiHT.	kɔHB.	tsɐpHT.lɐpHT.	wɔHF.	tsiakHB.	timHR.tsiLFR.	ŋɔHB.	tsʰiHB.	puiHB.	tsœŋHT.	saŋHT.	laŋLFR.	tsʰɔiLFR.	hɔnHB.	kɐuLF.kuŋHT.	ŋytHB.kɔŋHT.	piHB.kɔHT.	hiHT.	tsaŋHT.	piLFR.	saLFR.	puLF.lukHT.	huŋHF.kuŋLFR.	tʰauLF.	jimHF.	wɐnLF.	tsɔŋHT.	kanHT.tʰɐuLFR.	kiuHB.	haHT.kuŋHT.	miHT.	tsɐiLFR.	tsʰiHF.kɐŋHT.	pakHB.tɐuHB.	wɔHF.aHT.tsɐiHR.	kʰamHF.lɔHF.	fanHB.	tɔŋHB.	sɐtHB.jɐtHT.	nuHT.	tʰɐuHT.tsɐiLFR.	kuHT.	tɐmLFR.	lɔkHB.yLFR.	kʰɐmHF.syHF.	tʰiŋHT.jɐtHB.	liHB.	pʰɔHT.	tsɛHT.	kuaiHT.	pinHT.kɔHB.	jikHB.	tsɔkHB.jɐtHB.
