idx,var,xb,pdgx,gy,gloss_zh,gloss_en,dialect,form,family,subfamily,orth,transcription,ref,,
196,4,26,27,,虹,rainbow,HXHS,lan1 kung4,3,4,lan⁵⁵ 虹,lan⁵⁵ koŋ³³,,,
197,4,26,27,,虹,rainbow,CH,lung2,4,1,龍,loŋ²²,,,
198,4,26,27,,虹,rainbow,ZC,lung2 kung4,3,5,龍虹,loŋ¹¹ kʰoŋ¹³,,,
199,4,26,27,,虹,rainbow,FS,wok8 nyi3 long2,2,1,鑊耳龍,wuɔk²² ji¹³ loŋ³⁵,,,
200,4,26,27,,虹,rainbow,NH,lung2,4,1,龍,loŋ⁴⁴,,,
201,4,26,27,,虹,rainbow,SD,kung4 pung9,3,3,拱蓬,koŋ¹³ poŋ³⁵,,,
202,4,26,27,,虹,rainbow,SS,wok8 nyi3 lung2,2,1,鑊耳龍,wuɔk²² ji¹³ loŋ²¹,,,
203,4,26,27,,虹,rainbow,GM,lung2,4,1,龍,loŋ³⁵,,,
204,4,26,27,,虹,rainbow,ZS,hung2 kung4,3,6,虹拱,hoŋ⁵¹ koŋ²¹³,,,
205,4,26,27,,虹,rainbow,ZH,po5 hung2,1,2,播虹,pɔ³³ hoŋ²¹,,,
206,4,26,27,,虹,rainbow,DMSH,lung2 kung4,3,5,龍孔,loŋ⁴² kʰoŋ⁴⁵,,,
207,4,26,27,,虹,rainbow,DMZ,lung2 kung4,3,5,龍孔,loŋ²² kʰoŋ⁵⁵,,,
208,4,26,27,,虹,rainbow,JM,kiw5 kung4,3,2,叫虹,kiu²³ kɔŋ⁴⁵,,,
209,4,26,27,,虹,rainbow,XH,wok8 nyi3,2,2,鑊耳,vɔk²¹ ᵑgi⁴⁵,,,
210,4,26,27,,虹,rainbow,TS,wok8 nyi3,2,2,鑊耳,vɔk²¹ ᵑgi⁵⁵,,,
211,4,26,27,,虹,rainbow,KP,wok8 nyi3 lung2,2,1,鑊耳龍,vɔk²¹ ᵑgi⁵⁵ loŋ²²,,,
212,4,26,27,,虹,rainbow,EP,wok8 nyi3 lung2,2,1,鑊耳龍,vɔk²¹ ᵑgi⁵⁵ loŋ³⁵,,,
213,4,26,27,,虹,rainbow,HS,kung4,3,1,虹,kɔuŋ⁵⁵,,,
214,4,26,27,,虹,rainbow,DG,kung4,3,1,虹,kʰoŋ²¹³,,,
215,4,26,27,,虹,rainbow,BA,kung4,3,1,虹,kʰoŋ¹¹,,,
216,4,26,27,,虹,rainbow,GP,k(i)ong5,5,1,虹,kɔŋ³³,,,
217,4,26,27,,虹,rainbow,MS,lung2,4,1,龍,luŋ²¹,,,
218,4,26,27,,虹,rainbow,GG,k(i)ong5,5,1,虹,køŋ⁴⁴,,,
219,4,26,27,,虹,rainbow,BL,k(i)ong5,5,1,虹,kɐŋ⁵³,,,
220,4,26,27,,虹,rainbow,BS,k(i)ong5,5,1,虹,kɔŋ³³,,,
